age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,class
25,Private,226802,11th,7,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.9410523328241949,route_c,type_1,0.0,<=50K
38,Private,89814,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,0,pending,route_c,type_4,group_n,A12,0.0048827027008902105,route_c,type_4,1.0,<=50K
28,Local-gov,336951,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_4,0.35590365033795374,>50K
44,Private,160323,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,7688,0,40,United-States,1,closed,route_f,type_1,group_n,B07,1.0,route_f,type_1,0.2773164301433641,>50K
18,,103497,Some-college,10,Never-married,,Own-child,White,Female,0,0,30,United-States,0,pending,route_c,type_1,group_x,A12,0.21844266261962428,route_c,type_4,0.16229548229813476,<=50K
34,Private,198693,10th,6,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,0,pending,route_c,type_1,group_n,B07,0.0,route_c,type_4,0.9198421243058414,<=50K
29,,227026,HS-grad,9,Never-married,,Unmarried,Black,Male,0,0,40,United-States,0,pending,route_c,type_1,group_x,A12,0.0,route_c,type_1,1.0,<=50K
63,Self-emp-not-inc,104626,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,32,United-States,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_4,0.8353218759969704,>50K
24,Private,369667,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_x,B07,0.0,route_c,type_1,1.0,<=50K
55,Private,104996,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,10,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.10924730391817998,<=50K
65,Private,184454,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,6418,0,40,United-States,1,closed,route_f,type_1,group_x,B07,1.0,route_c,type_4,1.0,>50K
36,Federal-gov,212465,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_1,0.0,<=50K
26,Private,82091,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,39,United-States,0,pending,route_c,type_1,group_n,A12,0.09265174030728855,route_c,type_4,0.3391209711591206,<=50K
58,,299831,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,35,United-States,0,pending,route_c,type_4,group_n,A12,0.0705772673550694,route_c,type_1,0.0,<=50K
48,Private,279724,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,48,United-States,1,closed,route_f,type_1,group_x,B07,0.8682742092322,route_c,type_4,0.0,>50K
43,Private,346189,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1,closed,route_f,type_4,group_x,B07,0.924591145710871,route_f,type_1,0.9303408354755204,>50K
20,State-gov,444554,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.7148207201049345,<=50K
43,Private,128354,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_4,0.12848418423732474,<=50K
37,Private,60548,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,20,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.0,<=50K
40,Private,85019,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,45,,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,1.0,>50K
34,Private,107914,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,47,United-States,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,1.0,>50K
34,Private,238588,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,35,United-States,0,pending,route_c,type_4,group_n,A12,0.07967107962674295,route_f,type_1,0.7835600747496985,<=50K
72,,132015,7th-8th,4,Divorced,,Not-in-family,White,Female,0,0,6,United-States,0,pending,route_c,type_4,group_x,A12,1.0,route_f,type_4,0.0473261351178558,<=50K
25,Private,220931,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,Peru,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,1.0,<=50K
25,Private,205947,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_x,A12,0.009065161929848553,route_c,type_1,0.7890819823874646,<=50K
45,Self-emp-not-inc,432824,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,90,United-States,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,1.0,>50K
22,Private,236427,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,0,pending,route_c,type_1,group_n,A12,0.9850207724617547,route_c,type_4,1.0,<=50K
23,Private,134446,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Male,0,0,54,United-States,0,pending,route_c,type_1,group_x,A12,0.0,route_c,type_4,1.0,<=50K
54,Private,99516,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,0,pending,route_c,type_1,group_n,A12,0.139983988246016,route_c,type_1,0.0,<=50K
32,Self-emp-not-inc,109282,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_1,0.06848046387910378,<=50K
46,State-gov,106444,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,7688,0,38,United-States,1,closed,route_f,type_4,group_x,B07,0.908313560745032,route_f,type_4,0.8112108700124521,>50K
56,Self-emp-not-inc,186651,11th,7,Widowed,Other-service,Unmarried,White,Female,0,0,50,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.36918941985911874,<=50K
24,Self-emp-not-inc,188274,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,<=50K
23,Local-gov,258120,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.09988672610797442,route_f,type_4,0.7535579314049502,<=50K
26,Private,43311,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.042300901416308975,route_c,type_1,0.04767198492543349,<=50K
65,,191846,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.20879962354620552,<=50K
36,Local-gov,403681,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.7696641721535127,>50K
22,Private,248446,5th-6th,3,Never-married,Priv-house-serv,Not-in-family,White,Male,0,0,50,Guatemala,0,pending,route_c,type_4,group_n,A12,0.0,route_f,type_1,0.010104116161441008,<=50K
17,Private,269430,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0,pending,route_c,type_4,group_x,A12,1.0,route_c,type_1,1.0,<=50K
20,Private,257509,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.16238388981239882,route_c,type_1,0.0,<=50K
65,Private,136384,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1,closed,route_f,type_4,group_x,B07,0.9254382038432949,route_c,type_1,0.9945040526838826,>50K
44,Self-emp-inc,120277,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.9206636845636642,>50K
36,Private,465326,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.14277484738239085,<=50K
29,Private,103634,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_4,group_n,A12,0.021360633291642023,route_f,type_4,0.2449802899604596,<=50K
20,State-gov,138371,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,32,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.0,<=50K
28,Private,242832,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,36,United-States,1,closed,route_c,type_4,group_x,B07,0.0,route_f,type_4,1.0,>50K
39,Private,290208,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,<=50K
54,Private,186272,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3908,0,50,United-States,0,pending,route_c,type_1,group_n,B07,1.0,route_c,type_4,0.8220353481776738,<=50K
52,Private,201062,11th,7,Separated,Priv-house-serv,Not-in-family,Black,Female,0,0,18,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,<=50K
56,Self-emp-inc,131916,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,0,pending,route_c,type_4,group_n,A12,1.0,route_f,type_1,1.0,<=50K
18,Private,54440,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,0,pending,route_c,type_1,group_n,A12,0.22795426230553792,route_c,type_4,0.8249369917745784,<=50K
39,Private,280215,HS-grad,9,Divorced,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,1,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0154733201840572,<=50K
21,Private,214399,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,1721,24,United-States,0,closed,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.5931983292957593,<=50K
22,Private,54164,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,14084,0,60,United-States,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_4,0.1825357186706767,>50K
38,Private,219446,9th,5,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,54,Mexico,0,pending,route_c,type_4,group_n,B07,0.0638147548314972,route_c,type_1,0.8396006583292198,<=50K
21,Private,110677,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_1,0.12187050511142133,<=50K
63,Private,145985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_4,group_x,A12,0.0,route_c,type_1,0.0,<=50K
34,Local-gov,382078,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,50,United-States,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.05187232813754495,>50K
42,Self-emp-inc,170721,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,50,United-States,1,closed,route_f,type_1,group_n,B07,0.0073483754299324125,route_f,type_4,1.0,>50K
33,Private,269705,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0,closed,route_c,type_1,group_n,A12,0.0649633044262749,route_c,type_1,0.9045380766159944,<=50K
30,Private,101135,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,0,pending,route_c,type_1,group_n,A12,0.19822135453542836,route_c,type_1,0.3225017886329144,<=50K
39,Private,118429,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,B07,0.24455184473891342,route_c,type_4,0.7671299820408293,<=50K
26,Private,31208,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.1549692391887499,route_f,type_4,0.0,<=50K
33,Private,281384,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,<=50K
47,Local-gov,171807,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_c,type_4,group_n,A12,0.30310389973306695,route_c,type_4,0.03515909426230688,<=50K
41,Private,109912,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40,,0,pending,route_c,type_1,group_n,B07,0.7574822508027556,route_f,type_1,0.8930812997170785,<=50K
41,Self-emp-inc,445382,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,60,United-States,1,closed,route_f,type_1,group_x,B07,0.08431667169366754,route_f,type_4,1.0,>50K
19,Private,105460,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,0,pending,route_c,type_1,group_n,A12,0.014638537592452008,route_c,type_4,0.9156923419883762,<=50K
46,Private,170338,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.1331404718043241,route_c,type_4,0.9361378404488568,<=50K
43,Private,102606,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,0,pending,route_c,type_1,group_n,B07,0.16790403345543278,route_c,type_4,1.0,<=50K
