V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,Class
58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.0,route_f,type_1,0.1890544882424009,1
44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.8870935807901739,route_c,type_4,0.15448614636495472,1
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.2665230969291082,route_c,type_1,0.048390299912899025,1
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,1
33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.10280368333182621,1
35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.007994686198666504,route_f,type_1,0.7158827477760221,1
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.12225987195623701,route_f,type_1,1.0,1
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.9556086508435694,route_c,type_4,0.9054713823362512,1
58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.10457989618786422,route_c,type_4,0.0,1
43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,0,closed,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.6131286323107322,1
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.23144015498303774,route_c,type_4,0.0,1
29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.1904989929763837,route_f,type_1,1.0,1
53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,1.0,1
58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.1378731217021391,1
57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.17218539101372454,route_c,type_1,0.9923744679985992,1
51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.15174123954300897,route_c,type_1,0.22051761523458496,1
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0773299035896827,1
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.07818386292583208,route_f,type_1,0.0,1
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,1.0,1
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_1,0.0,1
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0848124704774568,route_f,type_4,0.0,1
56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,1.0,route_c,type_1,0.8852911850585659,1
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.018250968663819003,route_f,type_4,0.1309860539273724,1
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.15522247668954015,route_f,type_1,0.0,1
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,1.0,route_c,type_1,0.6193742917508522,1
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.0,route_f,type_4,0.4958752271951793,1
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.05450783929864308,route_c,type_1,0.0,1
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_c,type_1,0.38393406077703585,1
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.16503165067687886,route_c,type_1,1.0,1
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_c,type_4,0.972318834978952,1
