Season,Cultivar,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,final_outcome_flag,post_decision_status,risk_review_code,yield_class
1,NEO 760 CE,1,58.8,15.2,98.2,177.8,1.81,5.2,152.2,1,positive_final,B07,low
1,NEO 760 CE,2,58.6,13.4,102.0,195.0,1.85,7.2,141.69,0,negative_final,B07,high
1,NEO 760 CE,3,63.4,17.2,100.4,203.0,2.02,6.8,148.81,1,positive_final,B07,low
1,NEO 760 CE,4,60.27,15.27,100.2,191.93,1.89,6.4,148.5,1,positive_final,B07,low
1,MANU IPRO,1,81.2,18.0,98.8,173.0,1.75,7.4,145.59,1,positive_final,B07,low
1,MANU IPRO,2,75.8,20.8,69.2,128.0,1.85,7.2,154.87,1,positive_final,B07,low
1,MANU IPRO,3,84.4,15.8,95.4,161.8,1.7,6.8,150.23,1,positive_final,A12,low
1,MANU IPRO,4,80.47,18.2,87.8,154.27,1.77,7.13,149.9,1,positive_final,B07,low
1,77HO111I2X - GUAPORÉ,1,52.2,14.4,64.8,148.8,2.3,7.2,180.25,0,negative_final,A12,high
1,77HO111I2X - GUAPORÉ,2,55.8,15.8,72.0,188.8,2.62,6.2,176.75,0,negative_final,C31,high
1,77HO111I2X - GUAPORÉ,3,54.0,19.4,78.2,182.4,2.33,7.8,173.16,0,negative_final,A12,high
1,77HO111I2X - GUAPORÉ,4,54.0,16.53,71.67,173.33,2.42,7.07,176.73,0,negative_final,A12,high
1,NK 7777 IPRO,1,54.0,15.4,82.2,219.2,2.67,8.2,188.27,0,negative_final,B07,high
1,NK 7777 IPRO,2,59.2,17.0,63.2,176.0,2.78,9.0,184.01,0,negative_final,B07,high
1,NK 7777 IPRO,3,68.4,17.8,80.0,272.4,2.24,7.0,181.78,0,negative_final,A12,high
1,NK 7777 IPRO,4,60.53,16.73,75.13,222.53,2.56,8.07,184.69,0,negative_final,A12,high
1,GNS7900 IPRO - AMPLA,1,55.2,19.8,49.0,80.6,1.64,3.6,161.01,0,negative_final,A12,high
1,GNS7900 IPRO - AMPLA,2,64.2,18.8,54.4,123.6,2.27,4.0,162.93,0,negative_final,B07,high
1,GNS7900 IPRO - AMPLA,3,57.2,18.2,50.2,82.2,1.64,4.4,161.34,0,negative_final,B07,high
1,GNS7900 IPRO - AMPLA,4,58.87,18.93,51.2,95.47,1.85,4.0,163.11,1,positive_final,B07,low
1,LTT 7901 IPRO,1,60.6,15.8,61.4,136.2,2.22,6.0,164.13,0,negative_final,A12,high
1,LTT 7901 IPRO,2,66.4,18.2,89.0,191.6,2.15,7.4,163.56,0,negative_final,A12,high
1,LTT 7901 IPRO,3,66.6,17.6,72.4,155.2,2.14,5.6,165.88,1,positive_final,C31,low
1,LTT 7901 IPRO,4,64.53,17.2,74.27,161.0,2.17,6.33,165.68,1,positive_final,A12,low
1,BRASMAX BÔNUS IPRO,1,71.2,19.4,73.0,232.0,2.05,6.4,177.23,0,negative_final,A12,high
1,BRASMAX BÔNUS IPRO,2,64.0,17.0,58.4,141.4,2.42,6.6,178.3,0,negative_final,A12,high
1,BRASMAX BÔNUS IPRO,3,68.4,13.4,62.0,250.6,2.21,5.0,183.42,0,negative_final,A12,high
1,BRASMAX BÔNUS IPRO,4,67.87,16.6,64.47,208.0,2.23,6.0,183.52,1,negative_final,B07,high
1,97Y97 IPRO,1,53.8,14.0,49.0,130.4,2.66,5.2,167.34,1,positive_final,B07,low
1,97Y97 IPRO,2,51.0,19.2,64.6,172.0,2.66,5.4,168.24,1,positive_final,B07,low
1,97Y97 IPRO,3,55.2,18.4,63.8,174.2,2.73,5.0,166.08,1,positive_final,C31,low
1,97Y97 IPRO,4,53.33,17.2,59.13,158.87,2.68,5.2,172.62,1,positive_final,C31,low
1,BRASMAX OLIMPO IPRO,1,86.6,23.0,44.0,160.0,2.0,4.8,187.87,0,negative_final,A12,high
1,BRASMAX OLIMPO IPRO,2,91.0,24.0,71.8,138.4,1.93,5.6,187.38,0,negative_final,A12,high
1,BRASMAX OLIMPO IPRO,3,84.6,26.4,87.6,226.0,2.58,6.2,177.1,0,negative_final,B07,high
