checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,class
<0,6,critical/other existing credit,radio/tv,1169,no known savings,>=7,4,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.6611074347369942,route_c,type_4,0.11219233449219117,good
0<=X<200,48,existing paid,radio/tv,5951,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.9470939343181374,route_c,type_1,0.9015517506800265,bad
no checking,12,critical/other existing credit,education,2096,<100,4<=X<7,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,1,closed,route_f,type_4,group_x,B07,0.8173402509727206,route_f,type_4,1.0,good
<0,42,existing paid,furniture/equipment,7882,<100,4<=X<7,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,1,closed,route_f,type_4,group_x,B07,0.9686497680105963,route_c,type_4,0.1862977412241715,good
<0,24,delayed previously,new car,4870,<100,1<=X<4,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,0,pending,route_c,type_4,group_n,B07,1.0,route_c,type_1,1.0,bad
no checking,36,existing paid,education,9055,no known savings,1<=X<4,2,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,1.0,good
no checking,24,existing paid,furniture/equipment,2835,500<=X<1000,>=7,3,male single,none,4,life insurance,53,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.8491800220835342,route_f,type_4,0.13003097997736462,good
0<=X<200,36,existing paid,used car,6948,<100,1<=X<4,2,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_1,1.0,good
no checking,12,existing paid,radio/tv,3059,>=1000,4<=X<7,2,male div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_1,1.0,good
0<=X<200,30,critical/other existing credit,new car,5234,<100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.04604498356613372,route_c,type_4,0.0,bad
0<=X<200,12,existing paid,new car,1295,<100,<1,3,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0332012911720837,bad
<0,48,existing paid,business,4308,<100,<1,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.18326540603173092,route_c,type_1,0.1887435288176626,bad
0<=X<200,12,existing paid,radio/tv,1567,<100,1<=X<4,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_c,type_4,0.0,good
<0,24,critical/other existing credit,new car,1199,<100,>=7,4,male single,none,4,car,60,none,own,2,unskilled resident,1,none,yes,0,pending,route_c,type_1,group_x,A12,0.23507914461424936,route_f,type_1,0.0,bad
<0,15,existing paid,new car,1403,<100,1<=X<4,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_1,1.0,good
<0,24,existing paid,radio/tv,1282,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_1,0.0,bad
