gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,Churn
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,pending,route_f,type_4,group_n,B07,1.0,route_f,type_1,0.18189799067712012,No
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,pending,route_c,type_1,group_n,A12,0.06187029789663638,route_f,type_1,0.03985356382423194,No
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,closed,route_f,type_4,group_n,B07,0.0,route_c,type_4,1.0,Yes
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,pending,route_c,type_1,group_x,B07,0.0,route_c,type_1,0.8677127779641884,No
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,closed,route_f,type_4,group_x,A12,0.8989734509554901,route_f,type_4,0.9758033302086541,Yes
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.1362405494616402,Yes
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,pending,route_c,type_1,group_n,A12,0.05805579470347625,route_c,type_4,0.0,No
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,pending,route_c,type_4,group_n,A12,0.0,route_f,type_1,0.7930415677028837,No
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.7112678892620878,Yes
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,pending,route_c,type_4,group_n,B07,0.0,route_c,type_4,1.0,No
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.9438747216502368,No
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,pending,route_c,type_1,group_n,A12,1.0,route_f,type_4,1.0,No
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.9849937374039964,No
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.36324466200295497,Yes
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.24955396755180975,No
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,pending,route_c,type_1,group_n,A12,0.9245354883804139,route_c,type_1,0.8613835551638271,No
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,pending,route_c,type_4,group_n,A12,0.0791258827866086,route_f,type_4,0.022969353466415775,No
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,pending,route_c,type_4,group_n,A12,0.06543710915767627,route_c,type_1,0.0,No
