dataset,check,status,detail
adult,main_results_exists,PASS,results\tables\adult_main_results.csv
adult,selected_features_exists,PASS,results\selected_features\adult_selected_features.csv
adult,semantic_scores_exists,PASS,results\tables\adult_semantic_scores.csv
adult,main_required_columns,PASS,missing=[]
adult,main_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
adult,main_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
adult,main_no_null_metrics,PASS,nulls={}
adult,main_row_count,PASS,expected=25; actual=25
adult,selected_required_columns,PASS,missing=[]
adult,selected_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
adult,selected_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
adult,semantic_required_columns,PASS,missing=[]
adult,semantic_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
adult,semantic_scores_in_unit_interval,PASS,"scores must be in [0, 1]"
bank,main_results_exists,PASS,results\tables\bank_main_results.csv
bank,selected_features_exists,PASS,results\selected_features\bank_selected_features.csv
bank,semantic_scores_exists,PASS,results\tables\bank_semantic_scores.csv
bank,main_required_columns,PASS,missing=[]
bank,main_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
bank,main_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
bank,main_no_null_metrics,PASS,nulls={}
bank,main_row_count,PASS,expected=25; actual=25
bank,selected_required_columns,PASS,missing=[]
bank,selected_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
bank,selected_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
bank,semantic_required_columns,PASS,missing=[]
bank,semantic_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
bank,semantic_scores_in_unit_interval,PASS,"scores must be in [0, 1]"
blood,main_results_exists,PASS,results\tables\blood_main_results.csv
blood,selected_features_exists,PASS,results\selected_features\blood_selected_features.csv
blood,semantic_scores_exists,PASS,results\tables\blood_semantic_scores.csv
blood,main_required_columns,PASS,missing=[]
blood,main_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
blood,main_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
blood,main_no_null_metrics,PASS,nulls={}
blood,main_row_count,PASS,expected=25; actual=25
blood,selected_required_columns,PASS,missing=[]
blood,selected_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
blood,selected_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
blood,semantic_required_columns,PASS,missing=[]
