dataset,comparison,metric,mean_delta,std_delta,n_seeds
adult,LASFS-w/o-leakage - LASFS-full,clean_auroc,-0.006970774985008954,0.006340518264107708,5
adult,LASFS-w/o-leakage - LASFS-full,clean_f1,-0.023231704911019356,0.038392981098550716,5
adult,LASFS-w/o-leakage - LASFS-full,deployment_drop,0.1065622892285675,0.0061850831445174805,5
adult,LASFS-w/o-leakage - LASFS-full,selected_leakage_count,1.0,0.0,5
adult,LASFS-w/o-leakage - LASFS-full,injected_leakage_recall,0.3333333333333333,0.0,5
adult,LASFS-w/o-availability - LASFS-full,clean_auroc,-0.000248744105882448,0.0006560578454251629,5
adult,LASFS-w/o-availability - LASFS-full,clean_f1,-0.0008917388144724425,0.0014630490108710201,5
adult,LASFS-w/o-availability - LASFS-full,deployment_drop,0.0,0.0,5
adult,LASFS-w/o-availability - LASFS-full,selected_leakage_count,0.0,0.0,5
adult,LASFS-w/o-availability - LASFS-full,injected_leakage_recall,0.0,0.0,5
adult,LASFS-w/o-uncertainty - LASFS-full,clean_auroc,0.0,0.0,5
adult,LASFS-w/o-uncertainty - LASFS-full,clean_f1,0.0,0.0,5
adult,LASFS-w/o-uncertainty - LASFS-full,deployment_drop,0.0,0.0,5
adult,LASFS-w/o-uncertainty - LASFS-full,selected_leakage_count,0.0,0.0,5
adult,LASFS-w/o-uncertainty - LASFS-full,injected_leakage_recall,0.0,0.0,5
bank,LASFS-w/o-leakage - LASFS-full,clean_auroc,0.03248715396188266,0.0048191476850923546,5
bank,LASFS-w/o-leakage - LASFS-full,clean_f1,-0.010747834999841627,0.014645320043844825,5
bank,LASFS-w/o-leakage - LASFS-full,deployment_drop,0.0,0.0,5
bank,LASFS-w/o-leakage - LASFS-full,selected_leakage_count,0.0,0.0,5
bank,LASFS-w/o-leakage - LASFS-full,injected_leakage_recall,0.0,0.0,5
bank,LASFS-w/o-availability - LASFS-full,clean_auroc,0.039427577463888475,0.009460829086735116,5
bank,LASFS-w/o-availability - LASFS-full,clean_f1,-0.012942756799590355,0.01678876836035738,5
bank,LASFS-w/o-availability - LASFS-full,deployment_drop,0.0,0.0,5
bank,LASFS-w/o-availability - LASFS-full,selected_leakage_count,0.0,0.0,5
bank,LASFS-w/o-availability - LASFS-full,injected_leakage_recall,0.0,0.0,5
bank,LASFS-w/o-uncertainty - LASFS-full,clean_auroc,0.003170240041287231,0.007088872237309988,5
bank,LASFS-w/o-uncertainty - LASFS-full,clean_f1,-0.0029915354698990372,0.006689276667796023,5
bank,LASFS-w/o-uncertainty - LASFS-full,deployment_drop,0.0,0.0,5
bank,LASFS-w/o-uncertainty - LASFS-full,selected_leakage_count,0.0,0.0,5
bank,LASFS-w/o-uncertainty - LASFS-full,injected_leakage_recall,0.0,0.0,5
blood,LASFS-w/o-leakage - LASFS-full,clean_auroc,0.0,0.0,5
blood,LASFS-w/o-leakage - LASFS-full,clean_f1,0.0,0.0,5
blood,LASFS-w/o-leakage - LASFS-full,deployment_drop,0.0,0.0,5
blood,LASFS-w/o-leakage - LASFS-full,selected_leakage_count,0.0,0.0,5
blood,LASFS-w/o-leakage - LASFS-full,injected_leakage_recall,0.0,0.0,5
blood,LASFS-w/o-availability - LASFS-full,clean_auroc,0.0,0.0,5
blood,LASFS-w/o-availability - LASFS-full,clean_f1,0.0,0.0,5
blood,LASFS-w/o-availability - LASFS-full,deployment_drop,0.0,0.0,5
blood,LASFS-w/o-availability - LASFS-full,selected_leakage_count,0.0,0.0,5
blood,LASFS-w/o-availability - LASFS-full,injected_leakage_recall,0.0,0.0,5
blood,LASFS-w/o-uncertainty - LASFS-full,clean_auroc,0.0,0.0,5
blood,LASFS-w/o-uncertainty - LASFS-full,clean_f1,0.0,0.0,5
blood,LASFS-w/o-uncertainty - LASFS-full,deployment_drop,0.0,0.0,5
blood,LASFS-w/o-uncertainty - LASFS-full,selected_leakage_count,0.0,0.0,5
blood,LASFS-w/o-uncertainty - LASFS-full,injected_leakage_recall,0.0,0.0,5
cultivars,LASFS-w/o-leakage - LASFS-full,clean_auroc,-0.06201171875,0.06441149667750191,5
cultivars,LASFS-w/o-leakage - LASFS-full,clean_f1,-0.07259228118519531,0.12674254207786764,5
cultivars,LASFS-w/o-leakage - LASFS-full,deployment_drop,0.21044921875,0.03962004448261874,5
cultivars,LASFS-w/o-leakage - LASFS-full,selected_leakage_count,1.0,0.0,5
cultivars,LASFS-w/o-leakage - LASFS-full,injected_leakage_recall,0.3333333333333333,0.0,5
cultivars,LASFS-w/o-availability - LASFS-full,clean_auroc,0.0,0.0,5
cultivars,LASFS-w/o-availability - LASFS-full,clean_f1,0.0,0.0,5
cultivars,LASFS-w/o-availability - LASFS-full,deployment_drop,0.0,0.0,5
cultivars,LASFS-w/o-availability - LASFS-full,selected_leakage_count,0.0,0.0,5
cultivars,LASFS-w/o-availability - LASFS-full,injected_leakage_recall,0.0,0.0,5
cultivars,LASFS-w/o-uncertainty - LASFS-full,clean_auroc,0.0,0.0,5
