dataset,method,clean_auroc,clean_f1,deployment_drop,injected_leakage_recall
adult,LASFS-full,0.849 +/- 0.004,0.599 +/- 0.013,0.000 +/- 0.000,0.000 +/- 0.000
adult,LASFS-w/o-leakage,0.866 +/- 0.008,0.614 +/- 0.024,0.104 +/- 0.058,0.080 +/- 0.045
adult,LASFS-w/o-availability,0.874 +/- 0.003,0.651 +/- 0.003,0.000 +/- 0.000,0.000 +/- 0.000
adult,LASFS-w/o-uncertainty,0.849 +/- 0.004,0.599 +/- 0.013,0.000 +/- 0.000,0.000 +/- 0.000
bank,LASFS-full,0.628 +/- 0.003,0.233 +/- 0.008,0.000 +/- 0.000,0.000 +/- 0.000
bank,LASFS-w/o-leakage,0.601 +/- 0.056,0.205 +/- 0.045,0.318 +/- 0.183,0.080 +/- 0.045
bank,LASFS-w/o-availability,0.627 +/- 0.002,0.233 +/- 0.006,0.000 +/- 0.000,0.000 +/- 0.000
bank,LASFS-w/o-uncertainty,0.628 +/- 0.003,0.233 +/- 0.008,0.000 +/- 0.000,0.000 +/- 0.000
blood,LASFS-full,0.638 +/- 0.047,0.356 +/- 0.068,0.000 +/- 0.000,0.000 +/- 0.000
blood,LASFS-w/o-leakage,0.611 +/- 0.108,0.368 +/- 0.163,0.307 +/- 0.199,0.080 +/- 0.045
blood,LASFS-w/o-availability,0.638 +/- 0.047,0.356 +/- 0.068,0.000 +/- 0.000,0.000 +/- 0.000
blood,LASFS-w/o-uncertainty,0.638 +/- 0.047,0.356 +/- 0.068,0.000 +/- 0.000,0.000 +/- 0.000
cultivars,LASFS-full,0.750 +/- 0.082,0.674 +/- 0.056,0.000 +/- 0.000,0.000 +/- 0.000
cultivars,LASFS-w/o-leakage,0.539 +/- 0.049,0.448 +/- 0.287,0.424 +/- 0.038,0.100 +/- 0.000
cultivars,LASFS-w/o-availability,0.579 +/- 0.062,0.575 +/- 0.023,0.000 +/- 0.000,0.000 +/- 0.000
cultivars,LASFS-w/o-uncertainty,0.750 +/- 0.082,0.674 +/- 0.056,0.000 +/- 0.000,0.000 +/- 0.000
diabetes,LASFS-full,0.810 +/- 0.036,0.641 +/- 0.022,0.000 +/- 0.000,0.000 +/- 0.000
diabetes,LASFS-w/o-leakage,0.810 +/- 0.036,0.641 +/- 0.022,0.000 +/- 0.000,0.000 +/- 0.000
diabetes,LASFS-w/o-availability,0.810 +/- 0.036,0.641 +/- 0.022,0.000 +/- 0.000,0.000 +/- 0.000
diabetes,LASFS-w/o-uncertainty,0.810 +/- 0.036,0.641 +/- 0.022,0.000 +/- 0.000,0.000 +/- 0.000
german_credit,LASFS-full,0.742 +/- 0.030,0.818 +/- 0.011,0.000 +/- 0.000,0.000 +/- 0.000
german_credit,LASFS-w/o-leakage,0.691 +/- 0.034,0.788 +/- 0.083,0.296 +/- 0.032,0.100 +/- 0.000
german_credit,LASFS-w/o-availability,0.710 +/- 0.022,0.815 +/- 0.016,0.000 +/- 0.000,0.000 +/- 0.000
german_credit,LASFS-w/o-uncertainty,0.742 +/- 0.030,0.818 +/- 0.011,0.000 +/- 0.000,0.000 +/- 0.000
heart,LASFS-full,0.887 +/- 0.009,0.825 +/- 0.018,0.000 +/- 0.000,0.000 +/- 0.000
heart,LASFS-w/o-leakage,0.885 +/- 0.011,0.829 +/- 0.020,0.000 +/- 0.000,0.000 +/- 0.000
heart,LASFS-w/o-availability,0.888 +/- 0.009,0.829 +/- 0.022,0.000 +/- 0.000,0.000 +/- 0.000
heart,LASFS-w/o-uncertainty,0.887 +/- 0.009,0.832 +/- 0.019,0.000 +/- 0.000,0.000 +/- 0.000
telco_churn,LASFS-full,0.801 +/- 0.013,0.521 +/- 0.020,0.000 +/- 0.000,0.000 +/- 0.000
telco_churn,LASFS-w/o-leakage,0.775 +/- 0.006,0.462 +/- 0.041,0.225 +/- 0.007,0.200 +/- 0.000
telco_churn,LASFS-w/o-availability,0.801 +/- 0.013,0.521 +/- 0.020,0.000 +/- 0.000,0.000 +/- 0.000
telco_churn,LASFS-w/o-uncertainty,0.801 +/- 0.013,0.521 +/- 0.020,0.000 +/- 0.000,0.000 +/- 0.000
