dataset,method,clean_auroc_mean,clean_auroc_std,clean_f1_mean,clean_f1_std,deployment_drop_mean,deployment_drop_std,selected_leakage_count_mean,selected_leakage_count_std,selected_leakage_ratio_mean,selected_leakage_ratio_std,injected_leakage_recall_mean,injected_leakage_recall_std
adult,LASFS-full,0.882946719744662,0.0021910812135384665,0.6456121680039175,0.006485800746278039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,LASFS-w/o-leakage,0.8806210521456654,0.007307624965148119,0.6024356647591077,0.057810823436534785,0.1146991903499075,0.006275554678389871,1.4,0.5477225575051662,0.14,0.05477225575051662,0.14,0.05477225575051662
adult,LASFS-w/o-availability,0.8833306108240293,0.002135821129481568,0.6468285747340319,0.0059032473696652215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,LASFS-w/o-uncertainty,0.882946719744662,0.0021910812135384665,0.6456121680039175,0.006485800746278039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank,LASFS-full,0.7223175187881814,0.006364454564593421,0.24124978753345658,0.014224736656759702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank,LASFS-w/o-leakage,0.7055810930939745,0.009834314962219214,0.07505783437361743,0.03311628951601769,0.27997368648446463,0.009654440591193907,1.0,0.0,0.0909090909090909,0.0,0.1,0.0
bank,LASFS-w/o-availability,0.745356996163648,0.009784771691263591,0.22868306350633985,0.014908210085171911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank,LASFS-w/o-uncertainty,0.7223175187881814,0.006364454564593421,0.24124978753345658,0.014224736656759702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood,LASFS-full,0.6792326407806957,0.04031270677099544,0.304156825447148,0.18183270316062292,0.31987294928141613,0.04018856475034582,2.0,0.0,0.3333333333333333,0.0,0.2,0.0
blood,LASFS-w/o-leakage,0.6933720351603646,0.041391279036071475,0.3062231462231463,0.1802287796283422,0.30573355490174714,0.04139921787256034,2.0,0.0,0.3333333333333333,0.0,0.2,0.0
blood,LASFS-w/o-availability,0.6792326407806957,0.04031270677099544,0.304156825447148,0.18183270316062292,0.31987294928141613,0.04018856475034582,2.0,0.0,0.3333333333333333,0.0,0.2,0.0
blood,LASFS-w/o-uncertainty,0.6792326407806957,0.04031270677099544,0.304156825447148,0.18183270316062292,0.31987294928141613,0.04018856475034582,2.0,0.0,0.3333333333333333,0.0,0.2,0.0
cultivars,LASFS-full,0.7693359375,0.056590722561793795,0.6801282407506358,0.05942233588996106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cultivars,LASFS-w/o-leakage,0.7326171875,0.039700598770353715,0.6286408104773166,0.07523039131985289,0.245703125,0.05605928089846957,1.4,0.5477225575051662,0.175,0.06846531968814577,0.14,0.05477225575051661
cultivars,LASFS-w/o-availability,0.769921875,0.04943157383331207,0.6833218331081917,0.05007406467684685,0.21103515625,0.05188134763557043,1.0,0.0,0.125,0.0,0.1,0.0
cultivars,LASFS-w/o-uncertainty,0.7693359375,0.056590722561793795,0.6801282407506358,0.05942233588996106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diabetes,LASFS-full,0.828636116127336,0.03727175375857116,0.6358356023061906,0.0559648995074258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diabetes,LASFS-w/o-leakage,0.7417532640056458,0.032793194800499234,0.4831732325762177,0.09700118438378107,0.2507384263583591,0.02991416758469087,1.2,0.4472135954999579,0.15,0.05590169943749474,0.12000000000000002,0.044721359549995794
diabetes,LASFS-w/o-availability,0.8305844801461278,0.03614128114890786,0.651197632808886,0.04925638604607519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
