dataset,seed,method,feature,rank,lasfs_decision,semantic_relevance_mean,availability_mean,leakage_risk_mean,leakage_risk_std
adult,1,TFS-RF,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-RF,risk_review_code,2,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-RF,final_outcome_flag,3,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-RF,followup_action_group,4,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-RF,case_resolution_type,5,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-RF,confirmed_result_code,6,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LogReg,risk_review_code,1,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LogReg,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LogReg,followup_action_group,5,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LogReg,final_outcome_flag,6,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LASSO,risk_review_code,1,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LASSO,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LASSO,followup_action_group,3,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LASSO,final_outcome_flag,4,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LASSO,case_resolution_type,5,Reject,0.0,0.0,1.0,0.0
adult,1,TFS-LASSO,confirmed_result_code,6,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-RF,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-RF,risk_review_code,2,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-RF,final_outcome_flag,3,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-RF,case_resolution_type,4,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-RF,followup_action_group,5,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-RF,confirmed_result_code,6,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LogReg,risk_review_code,1,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LogReg,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LogReg,confirmed_result_code,5,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LogReg,followup_action_group,6,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LASSO,risk_review_code,1,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LASSO,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LASSO,confirmed_result_code,3,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LASSO,followup_action_group,4,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LASSO,final_outcome_flag,5,Reject,0.0,0.0,1.0,0.0
adult,2,TFS-LASSO,case_resolution_type,6,Reject,0.0,0.0,1.0,0.0
adult,3,TFS-RF,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
