dataset,method,clean_auroc,clean_f1,leaky_auroc,leaky_f1
adult,TFS-RF,0.813 +/- 0.039,0.386 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.000
adult,TFS-LogReg,0.836 +/- 0.017,0.386 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.001
adult,TFS-LASSO,0.835 +/- 0.016,0.386 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.001
adult,LLM-only,0.888 +/- 0.003,0.660 +/- 0.010,0.888 +/- 0.003,0.660 +/- 0.010
adult,LASFS,0.883 +/- 0.002,0.646 +/- 0.006,0.883 +/- 0.002,0.646 +/- 0.006
bank,TFS-RF,0.810 +/- 0.016,0.209 +/- 0.000,1.000 +/- 0.000,0.999 +/- 0.001
bank,TFS-LogReg,0.677 +/- 0.017,0.209 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.001
bank,TFS-LASSO,0.719 +/- 0.103,0.209 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.001
bank,LLM-only,0.877 +/- 0.008,0.416 +/- 0.017,0.877 +/- 0.008,0.416 +/- 0.017
bank,LASFS,0.722 +/- 0.006,0.241 +/- 0.014,0.722 +/- 0.006,0.241 +/- 0.014
blood,TFS-RF,0.500 +/- 0.000,0.382 +/- 0.005,1.000 +/- 0.000,0.991 +/- 0.013
blood,TFS-LogReg,0.500 +/- 0.000,0.382 +/- 0.005,1.000 +/- 0.000,0.991 +/- 0.013
blood,TFS-LASSO,0.571 +/- 0.099,0.382 +/- 0.005,1.000 +/- 0.000,0.991 +/- 0.013
blood,LLM-only,0.677 +/- 0.039,0.236 +/- 0.085,0.928 +/- 0.018,0.724 +/- 0.023
blood,LASFS,0.679 +/- 0.040,0.304 +/- 0.182,0.999 +/- 0.001,0.977 +/- 0.020
cultivars,TFS-RF,0.680 +/- 0.069,0.667 +/- 0.000,1.000 +/- 0.000,1.000 +/- 0.000
cultivars,TFS-LogReg,0.672 +/- 0.085,0.667 +/- 0.000,1.000 +/- 0.000,1.000 +/- 0.000
cultivars,TFS-LASSO,0.712 +/- 0.110,0.667 +/- 0.000,0.996 +/- 0.007,0.982 +/- 0.013
cultivars,LLM-only,0.784 +/- 0.062,0.680 +/- 0.084,0.784 +/- 0.062,0.680 +/- 0.084
cultivars,LASFS,0.769 +/- 0.057,0.680 +/- 0.059,0.769 +/- 0.057,0.680 +/- 0.059
diabetes,TFS-RF,0.713 +/- 0.094,0.515 +/- 0.004,1.000 +/- 0.000,1.000 +/- 0.000
diabetes,TFS-LogReg,0.756 +/- 0.077,0.515 +/- 0.004,1.000 +/- 0.000,1.000 +/- 0.000
diabetes,TFS-LASSO,0.790 +/- 0.048,0.515 +/- 0.004,1.000 +/- 0.000,1.000 +/- 0.000
diabetes,LLM-only,0.833 +/- 0.039,0.660 +/- 0.040,0.918 +/- 0.014,0.800 +/- 0.035
diabetes,LASFS,0.829 +/- 0.037,0.636 +/- 0.056,0.829 +/- 0.037,0.636 +/- 0.056
german_credit,TFS-RF,0.660 +/- 0.044,0.824 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.002
german_credit,TFS-LogReg,0.617 +/- 0.075,0.824 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.002
german_credit,TFS-LASSO,0.650 +/- 0.031,0.824 +/- 0.000,1.000 +/- 0.000,0.999 +/- 0.002
german_credit,LLM-only,0.764 +/- 0.023,0.835 +/- 0.009,0.902 +/- 0.022,0.893 +/- 0.014
german_credit,LASFS,0.754 +/- 0.037,0.839 +/- 0.012,0.754 +/- 0.037,0.839 +/- 0.012
heart,TFS-RF,0.828 +/- 0.044,0.692 +/- 0.000,1.000 +/- 0.000,0.999 +/- 0.002
heart,TFS-LogReg,0.737 +/- 0.029,0.692 +/- 0.000,1.000 +/- 0.000,0.996 +/- 0.003
heart,TFS-LASSO,0.832 +/- 0.046,0.692 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.002
heart,LLM-only,0.934 +/- 0.015,0.879 +/- 0.015,0.963 +/- 0.013,0.906 +/- 0.019
heart,LASFS,0.949 +/- 0.009,0.903 +/- 0.012,0.949 +/- 0.009,0.903 +/- 0.012
telco_churn,TFS-RF,0.803 +/- 0.016,0.420 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.001
telco_churn,TFS-LogReg,0.767 +/- 0.019,0.420 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.002
telco_churn,TFS-LASSO,0.760 +/- 0.032,0.420 +/- 0.000,1.000 +/- 0.000,0.998 +/- 0.002
telco_churn,LLM-only,0.831 +/- 0.003,0.577 +/- 0.011,0.981 +/- 0.002,0.890 +/- 0.007
telco_churn,LASFS,0.805 +/- 0.014,0.535 +/- 0.029,0.805 +/- 0.014,0.535 +/- 0.029
