dataset,comparison,metric,mean_delta,std_delta,n_seeds
adult,LASFS - TFS-RF,clean_auroc,0.34906128685014187,0.004385943970793208,5
adult,LASFS - TFS-RF,clean_f1,0.21301720212419767,0.013068620780791025,5
adult,LASFS - TFS-RF,deployment_drop,-0.49962838035791846,0.00025552035935249846,5
adult,LASFS - TFS-RF,selected_leakage_count,-6.0,0.0,5
adult,LASFS - TFS-RF,injected_leakage_recall,-0.6,0.0,5
adult,LASFS - TFS-LogReg,clean_auroc,0.17330969297347404,0.08146344626509033,5
adult,LASFS - TFS-LogReg,clean_f1,0.19229552300432617,0.05612128176323035,5
adult,LASFS - TFS-LogReg,deployment_drop,-0.32387660229457466,0.08375871299238567,5
adult,LASFS - TFS-LogReg,selected_leakage_count,-4.2,0.4472135954999579,5
adult,LASFS - TFS-LogReg,injected_leakage_recall,-0.42000000000000004,0.04472135954999579,5
adult,LASFS - TFS-LASSO,clean_auroc,0.3539854888527346,0.009292472914486705,5
adult,LASFS - TFS-LASSO,clean_f1,0.21301720212419767,0.013068620780791025,5
adult,LASFS - TFS-LASSO,deployment_drop,-0.5045774130267638,0.010921175913922644,5
adult,LASFS - TFS-LASSO,selected_leakage_count,-5.8,0.4472135954999579,5
adult,LASFS - TFS-LASSO,injected_leakage_recall,-0.58,0.04472135954999579,5
adult,LASFS - LLM-only,clean_auroc,-0.05305998534104297,0.005114643136087191,5
adult,LASFS - LLM-only,clean_f1,-0.07178557798050848,0.013197723774419742,5
adult,LASFS - LLM-only,deployment_drop,0.0,0.0,5
adult,LASFS - LLM-only,selected_leakage_count,0.0,0.0,5
adult,LASFS - LLM-only,injected_leakage_recall,0.0,0.0,5
bank,LASFS - TFS-RF,clean_auroc,0.12821045604175124,0.0030214895638728118,5
bank,LASFS - TFS-RF,clean_f1,0.02310919091497394,0.007713841352059632,5
bank,LASFS - TFS-RF,deployment_drop,-0.49999883997997185,7.207422674248373e-07,5
bank,LASFS - TFS-RF,selected_leakage_count,-7.0,0.0,5
bank,LASFS - TFS-RF,injected_leakage_recall,-0.7,0.0,5
bank,LASFS - TFS-LogReg,clean_auroc,0.013120063256602355,0.029574918792946013,5
