dataset,method,selected_leakage_count,selected_leakage_ratio,injected_leakage_recall,deployment_drop
adult,TFS-RF,7.000 +/- 0.000,0.700 +/- 0.000,0.700 +/- 0.000,0.187 +/- 0.039
adult,TFS-LogReg,6.000 +/- 0.000,0.600 +/- 0.000,0.600 +/- 0.000,0.164 +/- 0.017
adult,TFS-LASSO,7.000 +/- 0.000,0.700 +/- 0.000,0.700 +/- 0.000,0.165 +/- 0.016
adult,LLM-only,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
adult,LASFS,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
bank,TFS-RF,9.400 +/- 0.548,0.855 +/- 0.050,0.940 +/- 0.055,0.190 +/- 0.016
bank,TFS-LogReg,6.600 +/- 0.548,0.600 +/- 0.050,0.660 +/- 0.055,0.323 +/- 0.017
bank,TFS-LASSO,8.400 +/- 0.548,0.764 +/- 0.050,0.840 +/- 0.055,0.281 +/- 0.103
bank,LLM-only,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
bank,LASFS,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
blood,TFS-RF,6.000 +/- 0.000,1.000 +/- 0.000,0.600 +/- 0.000,0.500 +/- 0.000
blood,TFS-LogReg,6.000 +/- 0.000,1.000 +/- 0.000,0.600 +/- 0.000,0.500 +/- 0.000
blood,TFS-LASSO,5.600 +/- 0.548,0.933 +/- 0.091,0.560 +/- 0.055,0.429 +/- 0.099
blood,LLM-only,2.000 +/- 0.000,0.333 +/- 0.000,0.200 +/- 0.000,0.251 +/- 0.042
blood,LASFS,2.000 +/- 0.000,0.333 +/- 0.000,0.200 +/- 0.000,0.320 +/- 0.040
cultivars,TFS-RF,7.000 +/- 0.000,0.875 +/- 0.000,0.700 +/- 0.000,0.320 +/- 0.069
cultivars,TFS-LogReg,7.000 +/- 0.000,0.875 +/- 0.000,0.700 +/- 0.000,0.328 +/- 0.085
cultivars,TFS-LASSO,3.000 +/- 2.000,0.375 +/- 0.250,0.300 +/- 0.200,0.284 +/- 0.113
cultivars,LLM-only,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
cultivars,LASFS,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
diabetes,TFS-RF,7.000 +/- 0.000,0.875 +/- 0.000,0.700 +/- 0.000,0.287 +/- 0.094
diabetes,TFS-LogReg,7.000 +/- 0.000,0.875 +/- 0.000,0.700 +/- 0.000,0.244 +/- 0.077
diabetes,TFS-LASSO,6.000 +/- 0.707,0.750 +/- 0.088,0.600 +/- 0.071,0.210 +/- 0.048
diabetes,LLM-only,1.000 +/- 0.000,0.125 +/- 0.000,0.100 +/- 0.000,0.084 +/- 0.034
diabetes,LASFS,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
german_credit,TFS-RF,10.000 +/- 0.000,0.833 +/- 0.000,1.000 +/- 0.000,0.340 +/- 0.044
german_credit,TFS-LogReg,8.600 +/- 0.548,0.717 +/- 0.046,0.860 +/- 0.055,0.383 +/- 0.075
german_credit,TFS-LASSO,7.200 +/- 0.447,0.600 +/- 0.037,0.720 +/- 0.045,0.350 +/- 0.031
german_credit,LLM-only,1.000 +/- 0.000,0.083 +/- 0.000,0.100 +/- 0.000,0.138 +/- 0.024
german_credit,LASFS,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
heart,TFS-RF,7.000 +/- 0.000,0.778 +/- 0.000,0.700 +/- 0.000,0.172 +/- 0.044
heart,TFS-LogReg,8.000 +/- 0.000,0.889 +/- 0.000,0.800 +/- 0.000,0.263 +/- 0.029
heart,TFS-LASSO,5.600 +/- 0.894,0.622 +/- 0.099,0.560 +/- 0.089,0.168 +/- 0.046
heart,LLM-only,1.000 +/- 0.000,0.111 +/- 0.000,0.100 +/- 0.000,0.029 +/- 0.012
heart,LASFS,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
telco_churn,TFS-RF,7.600 +/- 0.894,0.633 +/- 0.075,0.760 +/- 0.089,0.197 +/- 0.016
telco_churn,TFS-LogReg,8.800 +/- 0.447,0.733 +/- 0.037,0.880 +/- 0.045,0.233 +/- 0.019
telco_churn,TFS-LASSO,8.800 +/- 0.447,0.733 +/- 0.037,0.880 +/- 0.045,0.240 +/- 0.032
telco_churn,LLM-only,3.000 +/- 0.000,0.250 +/- 0.000,0.300 +/- 0.000,0.150 +/- 0.002
telco_churn,LASFS,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
