dataset,method,leaky_auroc_mean,leaky_auroc_std,clean_auroc_mean,clean_auroc_std,leaky_f1_mean,leaky_f1_std,clean_f1_mean,clean_f1_std,deployment_drop_mean,deployment_drop_std,selected_leakage_count_mean,selected_leakage_count_std,selected_leakage_ratio_mean,selected_leakage_ratio_std,injected_leakage_recall_mean,injected_leakage_recall_std
adult,TFS-RF,0.996377364654738,0.0006364406458418794,0.840456298315187,0.006181026033110408,0.9620052312456675,0.00218551114833429,0.1636094201134831,0.20338575648116297,0.1559210663395511,0.006538090195722041,3.0,0.0,0.4285714285714285,0.0,1.0,0.0
adult,TFS-LogReg,0.9857895029480804,0.0023012295785309685,0.8594824308358886,0.004148521124804135,0.9234208501102346,0.005846359767728531,0.6191391183800106,0.014578360014940844,0.12630707211219178,0.0037054705460728282,2.0,0.0,0.2857142857142857,0.0,0.6666666666666666,0.0
adult,TFS-LASSO,0.992022213143354,0.005575200449220458,0.8486347795786247,0.013050552820580258,0.9462628245562195,0.022019209110881573,0.29299695130734155,0.3031236478250603,0.14338743356472933,0.017819735416339764,2.6,0.5477225575051661,0.37142857142857133,0.07824607964359512,0.8666666666666666,0.1825741858350554
adult,LASFS,0.8768154215820048,0.003530499371655412,0.8768154215820048,0.003530499371655412,0.6434600266248722,0.011297184650620656,0.6434600266248722,0.011297184650620656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank,TFS-RF,0.9972325354841841,0.0008470168301190276,0.8928840702025183,0.004439755209528564,0.9546988595063965,0.0036812095419836406,0.2094842094842094,0.0,0.10434846528166582,0.0043447142298352285,3.0,0.0,0.375,0.0,1.0,0.0
bank,TFS-LogReg,0.9981355874021824,0.0007566125113186726,0.8916843254069244,0.003348529531350471,0.9537121725091666,0.005353114808564734,0.2094842094842094,0.0,0.10645126199525812,0.003851738831451927,3.0,0.0,0.375,0.0,1.0,0.0
bank,TFS-LASSO,0.9983982135691566,0.0006660129333489666,0.8915754492414297,0.004975351648585784,0.9531677300204088,0.00523376446197392,0.1683406632559174,0.09199976620186595,0.10682276432772689,0.00511076792922808,3.0,0.0,0.375,0.0,1.0,0.0
bank,LASFS,0.6791903652050809,0.00773867578816393,0.6791903652050809,0.00773867578816393,0.25973229812184123,0.005136532268902637,0.25973229812184123,0.005136532268902637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood,TFS-RF,0.9956607823907596,0.00781033293984746,0.5,0.0,0.9653830227743271,0.026373918735247234,0.3818657367044464,0.004775262053227239,0.49566078239075945,0.007810332939847529,3.0,0.0,1.0,0.0,1.0,0.0
blood,TFS-LogReg,0.9956607823907596,0.00781033293984746,0.5,0.0,0.9653830227743271,0.026373918735247234,0.3818657367044464,0.004775262053227239,0.49566078239075945,0.007810332939847529,3.0,0.0,1.0,0.0,1.0,0.0
