dataset,method,feature,selected_count,mean_rank,is_injected_leakage
adult,TFS-RF,post_decision_status,5,1.0,True
adult,TFS-RF,final_outcome_flag,5,2.0,True
adult,TFS-RF,risk_review_code,5,3.2,True
adult,TFS-RF,marital-status,5,3.8,False
adult,TFS-RF,relationship,5,5.0,False
adult,TFS-RF,age,5,6.2,False
adult,TFS-RF,education-num,4,6.75,False
adult,TFS-RF,occupation,1,7.0,False
adult,TFS-LogReg,native-country,5,1.0,False
adult,TFS-LogReg,post_decision_status,5,2.4,True
adult,TFS-LogReg,occupation,5,3.2,False
adult,TFS-LogReg,education,5,4.0,False
adult,TFS-LogReg,risk_review_code,5,4.4,True
adult,TFS-LogReg,marital-status,5,6.4,False
adult,TFS-LogReg,relationship,5,6.6,False
adult,TFS-LASSO,native-country,5,1.6,False
adult,TFS-LASSO,post_decision_status,5,1.8,True
adult,TFS-LASSO,occupation,5,2.8,False
adult,TFS-LASSO,risk_review_code,5,3.8,True
adult,TFS-LASSO,relationship,5,5.2,False
adult,TFS-LASSO,education,5,5.8,False
adult,TFS-LASSO,final_outcome_flag,3,7.0,True
adult,TFS-LASSO,marital-status,2,7.0,False
adult,LASFS,marital-status,5,1.0,False
adult,LASFS,age,5,2.2,False
adult,LASFS,education-num,5,2.8,False
adult,LASFS,education,5,4.0,False
adult,LASFS,occupation,5,5.0,False
adult,LASFS,hours-per-week,5,6.0,False
adult,LASFS,capital-gain,5,7.0,False
bank,TFS-RF,post_decision_status,5,1.0,True
bank,TFS-RF,final_outcome_flag,5,2.0,True
bank,TFS-RF,risk_review_code,5,3.0,True
bank,TFS-RF,V12,5,4.0,False
bank,TFS-RF,V16,5,5.0,False
bank,TFS-RF,V11,5,6.0,False
bank,TFS-RF,V9,5,7.0,False
bank,TFS-RF,V6,4,8.0,False
bank,TFS-RF,V7,1,8.0,False
bank,TFS-LogReg,V11,5,1.0,False
bank,TFS-LogReg,post_decision_status,5,2.0,True
bank,TFS-LogReg,risk_review_code,5,3.2,True
bank,TFS-LogReg,V2,5,4.2,False
bank,TFS-LogReg,V16,5,4.6,False
bank,TFS-LogReg,final_outcome_flag,5,6.0,True
bank,TFS-LogReg,V9,5,7.2,False
bank,TFS-LogReg,V12,5,7.8,False
bank,TFS-LASSO,V11,5,1.0,False
bank,TFS-LASSO,post_decision_status,5,2.0,True
bank,TFS-LASSO,risk_review_code,5,3.0,True
bank,TFS-LASSO,V2,5,4.4,False
bank,TFS-LASSO,V16,5,4.6,False
bank,TFS-LASSO,final_outcome_flag,5,6.0,True
bank,TFS-LASSO,V9,5,7.2,False
bank,TFS-LASSO,V12,5,7.8,False
bank,LASFS,V7,5,1.0,False
bank,LASFS,V1,5,2.0,False
bank,LASFS,V2,5,3.0,False
bank,LASFS,V11,5,4.0,False
bank,LASFS,V9,5,5.4,False
bank,LASFS,V3,5,5.6,False
bank,LASFS,V5,5,7.0,False
bank,LASFS,V13,4,8.0,False
bank,LASFS,V4,1,8.0,False
blood,TFS-RF,post_decision_status,5,1.0,True
blood,TFS-RF,final_outcome_flag,5,2.0,True
blood,TFS-RF,risk_review_code,5,3.0,True
blood,TFS-LogReg,post_decision_status,5,1.0,True
blood,TFS-LogReg,final_outcome_flag,5,2.4,True
blood,TFS-LogReg,risk_review_code,5,2.6,True
blood,TFS-LASSO,post_decision_status,5,1.0,True
blood,TFS-LASSO,final_outcome_flag,5,2.4,True
blood,TFS-LASSO,risk_review_code,4,2.5,True
blood,TFS-LASSO,V1,1,3.0,False
blood,LASFS,V1,5,1.0,False
blood,LASFS,V4,5,2.0,False
blood,LASFS,V2,5,3.0,False
cultivars,TFS-RF,post_decision_status,5,1.0,True
cultivars,TFS-RF,final_outcome_flag,5,2.0,True
cultivars,TFS-RF,risk_review_code,5,3.0,True
cultivars,TFS-RF,Cultivar,5,4.0,False
cultivars,TFS-RF,NGP,5,5.2,False
cultivars,TFS-RF,NGL,3,5.666666666666667,False
cultivars,TFS-RF,MHG,1,6.0,False
cultivars,TFS-RF,NLP,1,6.0,False
cultivars,TFS-LogReg,Cultivar,5,1.0,False
cultivars,TFS-LogReg,post_decision_status,5,2.0,True
cultivars,TFS-LogReg,final_outcome_flag,5,3.0,True
cultivars,TFS-LogReg,risk_review_code,5,4.0,True
cultivars,TFS-LogReg,NGP,5,5.2,False
cultivars,TFS-LogReg,NLP,3,5.666666666666667,False
cultivars,TFS-LogReg,MHG,1,6.0,False
cultivars,TFS-LogReg,NGL,1,6.0,False
cultivars,TFS-LASSO,post_decision_status,5,1.0,True
cultivars,TFS-LASSO,final_outcome_flag,5,2.0,True
cultivars,TFS-LASSO,risk_review_code,5,3.2,True
cultivars,TFS-LASSO,NGP,5,3.8,False
cultivars,TFS-LASSO,NLP,3,5.0,False
cultivars,TFS-LASSO,NGL,2,6.0,False
cultivars,TFS-LASSO,Cultivar,1,5.0,False
cultivars,TFS-LASSO,MHG,1,5.0,False
cultivars,TFS-LASSO,IFP,1,6.0,False
cultivars,TFS-LASSO,NS,1,6.0,False
cultivars,TFS-LASSO,PH,1,6.0,False
cultivars,LASFS,NS,5,1.4,False
cultivars,LASFS,PH,5,1.6,False
cultivars,LASFS,IFP,5,3.0,False
cultivars,LASFS,Cultivar,5,4.0,False
cultivars,LASFS,Season,5,5.0,False
cultivars,LASFS,MHG,5,6.0,False
diabetes,TFS-RF,post_decision_status,5,1.0,True
diabetes,TFS-RF,final_outcome_flag,5,2.0,True
diabetes,TFS-RF,risk_review_code,5,3.2,True
diabetes,TFS-RF,plas,5,3.8,False
diabetes,TFS-RF,mass,4,5.0,False
diabetes,TFS-RF,age,1,5.0,False
diabetes,TFS-LogReg,post_decision_status,5,1.0,True
diabetes,TFS-LogReg,risk_review_code,5,2.2,True
diabetes,TFS-LogReg,final_outcome_flag,5,2.8,True
diabetes,TFS-LogReg,plas,5,4.0,False
diabetes,TFS-LogReg,pres,4,5.0,False
diabetes,TFS-LogReg,mass,1,5.0,False
diabetes,TFS-LASSO,post_decision_status,5,1.0,True
diabetes,TFS-LASSO,final_outcome_flag,5,2.4,True
diabetes,TFS-LASSO,risk_review_code,5,2.6,True
diabetes,TFS-LASSO,plas,5,4.0,False
diabetes,TFS-LASSO,pres,2,5.0,False
diabetes,TFS-LASSO,age,1,5.0,False
diabetes,TFS-LASSO,insu,1,5.0,False
diabetes,TFS-LASSO,mass,1,5.0,False
diabetes,LASFS,plas,5,1.0,False
diabetes,LASFS,mass,5,2.0,False
diabetes,LASFS,age,5,3.0,False
diabetes,LASFS,preg,5,4.0,False
diabetes,LASFS,pedi,5,5.0,False
german_credit,TFS-RF,post_decision_status,5,1.0,True
german_credit,TFS-RF,final_outcome_flag,5,2.0,True
german_credit,TFS-RF,risk_review_code,5,3.0,True
german_credit,TFS-RF,checking_status,5,4.0,False
german_credit,TFS-RF,credit_amount,5,5.2,False
german_credit,TFS-RF,duration,5,5.8,False
german_credit,TFS-RF,purpose,5,7.6,False
german_credit,TFS-RF,age,5,8.4,False
german_credit,TFS-RF,credit_history,4,8.5,False
german_credit,TFS-RF,savings_status,4,9.75,False
german_credit,TFS-RF,employment,2,8.5,False
german_credit,TFS-LogReg,post_decision_status,5,1.0,True
german_credit,TFS-LogReg,risk_review_code,5,2.0,True
german_credit,TFS-LogReg,purpose,5,3.0,False
german_credit,TFS-LogReg,final_outcome_flag,5,4.2,True
german_credit,TFS-LogReg,property_magnitude,5,6.6,False
german_credit,TFS-LogReg,credit_history,5,6.8,False
german_credit,TFS-LogReg,checking_status,5,7.0,False
german_credit,TFS-LogReg,employment,4,6.75,False
german_credit,TFS-LogReg,other_payment_plans,4,7.75,False
german_credit,TFS-LogReg,savings_status,4,8.75,False
german_credit,TFS-LogReg,personal_status,1,9.0,False
german_credit,TFS-LogReg,housing,1,10.0,False
german_credit,TFS-LogReg,installment_commitment,1,10.0,False
german_credit,TFS-LASSO,post_decision_status,5,1.0,True
german_credit,TFS-LASSO,risk_review_code,5,2.0,True
german_credit,TFS-LASSO,final_outcome_flag,5,3.0,True
german_credit,TFS-LASSO,property_magnitude,5,6.6,False
german_credit,TFS-LASSO,duration,5,8.6,False
german_credit,TFS-LASSO,purpose,4,4.0,False
german_credit,TFS-LASSO,checking_status,4,5.0,False
german_credit,TFS-LASSO,installment_commitment,4,7.5,False
german_credit,TFS-LASSO,credit_history,3,7.0,False
german_credit,TFS-LASSO,employment,3,7.0,False
german_credit,TFS-LASSO,other_payment_plans,2,7.5,False
german_credit,TFS-LASSO,num_dependents,2,9.5,False
german_credit,TFS-LASSO,housing,1,8.0,False
german_credit,TFS-LASSO,own_telephone,1,9.0,False
german_credit,TFS-LASSO,credit_amount,1,10.0,False
german_credit,LASFS,credit_history,5,1.0,False
german_credit,LASFS,job,5,2.4,False
german_credit,LASFS,credit_amount,5,2.8,False
german_credit,LASFS,checking_status,5,4.0,False
german_credit,LASFS,purpose,5,4.8,False
german_credit,LASFS,existing_credits,5,6.4,False
german_credit,LASFS,age,5,6.6,False
german_credit,LASFS,savings_status,5,8.0,False
german_credit,LASFS,installment_commitment,5,9.0,False
german_credit,LASFS,employment,5,10.0,False
heart,TFS-RF,ST_slope,5,1.0,False
heart,TFS-RF,chest_pain_type,5,2.8,False
heart,TFS-RF,max_heart_rate,5,3.0,False
heart,TFS-RF,oldpeak,5,3.2,False
heart,TFS-RF,cholesterol,5,5.0,False
heart,TFS-RF,exercise_angina,4,6.0,False
heart,TFS-RF,age,1,6.0,False
heart,TFS-LogReg,post_decision_status,5,1.8,True
heart,TFS-LogReg,chest_pain_type,5,2.6,False
heart,TFS-LogReg,ST_slope,5,2.8,False
heart,TFS-LogReg,sex,5,4.4,False
heart,TFS-LogReg,risk_review_code,4,3.75,True
heart,TFS-LogReg,exercise_angina,4,5.0,False
heart,TFS-LogReg,oldpeak,2,6.0,False
heart,TFS-LASSO,ST_slope,5,2.4,False
heart,TFS-LASSO,chest_pain_type,5,2.4,False
heart,TFS-LASSO,post_decision_status,5,2.8,True
heart,TFS-LASSO,sex,5,3.8,False
heart,TFS-LASSO,exercise_angina,4,4.75,False
heart,TFS-LASSO,oldpeak,3,5.666666666666667,False
